查詢時間,飾品英文名稱,最低售價,查詢狀態
2026-06-28 23:46:10,AK-47 | Redline (Field-Tested),"NT$ 1,376",成功
2026-06-28 23:46:10,AWP | Asiimov (Field-Tested),"NT$ 5,564",成功
2026-06-28 23:46:10,M4A1-S | Printstream (Field-Tested),"NT$ 8,563",成功
2026-06-28 23:46:10,Desert Eagle | Blaze (Factory New),"NT$ 31,591",成功
2026-06-29 21:12:05,AK-47 | Redline (Field-Tested),"NT$ 1,379",成功
2026-06-29 21:12:05,AWP | Asiimov (Field-Tested),"NT$ 5,521",成功
2026-06-29 21:12:05,M4A1-S | Printstream (Field-Tested),暫無售價,成功
2026-06-29 21:12:05,Desert Eagle | Blaze (Factory New),"NT$ 31,472",成功
2026-07-03 23:44:23,AK-47 | Redline (Field-Tested),"NT$ 1,401",成功
2026-07-03 23:44:23,AWP | Asiimov (Field-Tested),"NT$ 5,608",成功
2026-07-03 23:44:23,M4A1-S | Printstream (Field-Tested),"NT$ 9,168",成功
2026-07-03 23:44:23,Desert Eagle | Blaze (Factory New),"NT$ 32,178",成功
